"SN.","Title","Registration Number","Registration Date","Language","Periodicity","Publisher","Owner","Publication State","Publication District"
"2001","AFTAB E BHOPAL","MPURD/2019/85290","23-08-2023","Urdu","Monthly","NAVED KHAN","NAVED KHAN","Madhya Pradesh","Bhopal"
"2002","AFTAB E HIND","DELURD/2006/19290","19-04-2007","Urdu","Daily","M.J. ANSARI","M.J. ANSARI","Delhi","New Delhi"
"2003","AFTAB E HIND","UPURD/2014/58108","11-11-2014","Urdu","Daily","M. J. ANSARI","M. J. ANSARI","Uttar Pradesh","Gorakhpur"
"2004","AFTAB E HIND","DELHIN/2010/34920","28-12-2010","Hindi","Weekly","M.J. ANSARI","M.J. ANSARI","Delhi","New Delhi"
"2005","AFTAB E SEHAR","UPURD/2014/55993","24-06-2014","Urdu","Daily","ADITYA SHARMA","ADITYA SHARMA","Uttar Pradesh","Kanpur Nagar"
"2006","AFTAB E WATAN","UTTURD/2011/39079","05-10-2011","Urdu","Daily","MONU VERMA","MONU VERMA","Uttarakhand","Dehradun"
"2007","AFTAB TIMES","UPHIN/2013/51399","13-08-2013","HINDI","Daily","MOHD FAROOQ KHAN","MOHD FAROOQ KHAN","Uttar Pradesh","Gonda"
"2008","AFTAB TIMES","UPHIN/2010/34297","15-11-2010","Hindi","Fortnightly","MOHD. FAROOQ KHAN","MOHD. FAROOQ KHAN","Uttar Pradesh","Gonda"
"2009","AFTAB-E-HIDAYAT","UTTHIN/2006/18539","06-02-2007","Hindi","Quarterly","SYED ASHARAF HUSAIN KADARI","SYED ASHARAF HUSAIN KADARI","Uttarakhand","Dehradun"
"2010","AFTER BRAKE","DELHIN/2006/16722","08-03-2010","Hindi","Weekly","MANISH KUMAR SINHA","MANISH KUMAR SINHA","Delhi","New Delhi"
"2011","AFTER SCHOOL","DELENG/2012/40548","30-01-2012","English","Monthly","RASHMI LUTHRA","RASHMI LUTHRA","Delhi","New Delhi"
"2012","AFTERNOON","30540","06-11-1978","English","Daily","M N SUDHAN","M N SUDHAN","Tamil Nadu","Coimbatore"
"2013","AFTERNOON VOICE","MAHENG/2009/29332","09-03-2011","English","Daily","VAIDEHI SACHIN SRIVASTAV","NEWSMAKERS PUBLICATIONS PVT. LTD.","Maharashtra","Mumbai"
"2014","AFWAHA","MPHIN/2011/40578","30-01-2012","Hindi","Monthly","SAMEER SHAHNI","SAMEER SHAHNI","Madhya Pradesh","Bhopal"
"2015","AFZAL EXPRESS","DELURD/2015/61583","27-04-2015","Urdu","Weekly","AFZAL KHAN","AFZAL KHAN","Delhi","New Delhi"
"2016","AGA CHUDAR","TNTAM/2004/14792","19-10-2012","Tamil","Monthly","A.V. KUMARESAN","AGAMUDAIYAR EDUCATIONAL UPLIFT ASSOCIATION","Tamil Nadu","Chennai"
"2017","AGAAZ E CHANDAN","MPHIN/2014/55342","16-04-2014","Hindi","Daily","ARSHAD KHAN","ARSHAD KHAN","Madhya Pradesh","Bhopal"
"2018","AGAAZ E CHANDAN","MPHIN/2012/43110","02-09-2013","Hindi","Daily","ARSHAD KHAN","ARSHAD KHAN","Madhya Pradesh","Indore"
"2019","AGAAZ E CHANDAN","MPHIN/2013/52457","08-10-2013","Hindi","Daily","ARSHAD KHAN","ARSHAD KHAN","Madhya Pradesh","Indore"
"2020","AGAAZ E JUNG","UPURD/2014/55535","06-05-2014","Urdu","Daily","SABA JAMEEL","SABA JAMEEL","Uttar Pradesh","Lucknow"
"2021","AGAAZ E WATAN","MPHIN/2016/69176","09-11-2016","Hindi","Monthly","ABDUL QUADIR","ABDUL QUADIR","Madhya Pradesh","Bhopal"
"2022","AGAAZ KESARI","RAJHIN/2010/31211","03-06-2013","Hindi","Fortnightly","SUNIL SHARMA","SUNIL SHARMA","Rajasthan","Jaipur"
