"SN.","Title","Registration Number","Registration Date","Language","Periodicity","Publisher","Owner","Publication State","Publication District"
"34001","KISHANGARH HEADLINE","RAJHIN/2017/71834","19-05-2017","Hindi","Fortnightly","KULDEEP KUMAWAT","KULDEEP KUMAWAT","Rajasthan","Ajmer"
"34002","KISHKINDA PRABHA","KARKAN/2022/82409","19-10-2022","Kannada","Daily","MANJUNATH GUDLANUR","MANJUNATH GUDLANUR","Karnataka","Koppal"
"34003","KISHOLI TIMES","UPHIN/2011/42349","18-05-2012","Hindi","Weekly","MAHENDRA SINGH","MAHENDRA SINGH","Uttar Pradesh","Bulandshahr"
"34004","KISHOR","22679","26-08-1972","Marathi","Monthly","Hemant Vasant Babar","BUREAU OF TEXT BOOK PRODUCTION & CURRICULAM RESEARCH","Maharashtra","Pune"
"34005","KISHOR BELA","WBBEN/2011/40874","24-02-2012","Bengali","Quarterly","SNIGDHA GUHA","SNIGDHA GUHA","West Bengal","North 24 Parganas"
"34006","KISHORE BAITHAK","WBBEN/2006/19181","30-09-2013","Bengali","Annual","DIBYALOKE RAI CHAUDHURI","AGAMI NIRMAN 2003","West Bengal","South 24 Parganas"
"34007","KISHORE BHARATI","16599","08-10-1968","Bengali","Monthly","TRIDIB KUMAR CHATTERJEE","TRIDIB KUMAR CHATTERJEE","West Bengal","Kolkata"
"34008","KISHORE JAGAT","32904","16-06-1978","Bengali","Monthly","DHIRENDRA NATH SUR","KISHORE BAHINI","West Bengal","Purba Bardhaman"
"34009","KISHORE SAMAY","MPHIN/2022/83728","11-04-2023","Hindi","Monthly","SARA KHAN","SARA KHAN","Madhya Pradesh","Bhopal"
"34010","KISHOREGARH KA DARPAN","MPHIN/2018/78200","29-11-2019","Hindi","Monthly","BHAGWANLAL","BHAGWANLAL","Madhya Pradesh","Gwalior"
"34011","KISHTWAR TIMES","52489","12-12-2005","Urdu","Daily","VIKAS SINGH JAMWAL","VIKAS SINGH JAMWAL","Jammu and Kashmir","Jammu"
"34012","KISMAT BHILWARA","RAJHIN/2023/87379","28-05-2024","Hindi","Daily","PRAHLAD TELI","PRAHLAD TELI","Rajasthan","Bhilwara"
"34013","KISMAT KE TAARE","UPHIN/2022/84279","13-05-2023","Hindi","Fortnightly","VIMLA SHUKLA","VIMLA SHUKLA","Uttar Pradesh","Lucknow"
"34014","KISSA BHARAT KA","UPENG/2022/84300","12-05-2023","English","Monthly","MADHU SUBHASH","V RAJ FILM & PUBLICATIONS","Uttar Pradesh","Lucknow"
"34015","KISSA BHARAT KA","UPHIN/2002/05904","06-02-2001","Hindi","Weekly","MADHU SUBHASH","V. RAJ FILM & PUBLICATIONS","Uttar Pradesh","Lucknow"
"34016","KISSA BHARAT KA","UPURD/2022/84245","11-05-2023","Urdu","Daily","MADHU SUBHASH","V RAJ FILM & PUBLICATIONS","Uttar Pradesh","Lucknow"
"34017","KISSA BHARAT KA","UPHIN/2018/75615","22-06-2018","Hindi","Monthly","MADHU SUBHASH","V. RAJ FILM & PUBLICATIONS","Uttar Pradesh","Lucknow"
"34018","KISSA BHARAT KA","UPENG/2022/84299","12-05-2023","English","Daily","MADHU SUBHASH","V RAJ FILM & PUBLICATIONS","Uttar Pradesh","Lucknow"
"34019","KISSA KOTAH","MPHIN/2017/74658","13-02-2018","Hindi","Quarterly","ASHOK ASFAL","ASHOK ASFAL","Madhya Pradesh","Gwalior"
"34020","KISSAN RAITHA SUDDI","KARKAN/2018/79058","09-11-2020","Kannada","Monthly","SHIVASHANKAR.M.","SHIVASHANKAR.M.","Karnataka","Bengaluru"
"34021","KISSE AUR KAHANIYA","GUJHIN/2012/49773","20-05-2013","Hindi","Fortnightly","PRASANTGIRI RAJENDRAGIRI GOSWAMI","GOSWAMI PRASANTGIRI RAJENDRAGIRI","Gujarat","Surendranagar"
"34022","KITABI HAWALEY","10518","01-01-1964","Urdu","Monthly","IZHAR ASAR","IZHAR ASAR","Delhi","New Delhi"
"34023","KITCHEN CULTURE NEWS","MHHIN/25/A1183","10-06-2025","Hindi","Weekly","SHARMA SANJAYKUMAR RAMNIHAL","SHARMA SANJAYKUMAR RAMNIHAL","Maharashtra","Thane"
"34024","KITCHEN CULTURE NEWS","GUJMUL/2019/78521","26-02-2020","English, Gujarati, Hindi","Half Yearly","SANJAY  R. SHARMA","SANJAY  R. SHARMA","Gujarat","Ahmedabad"
"34025","Kitchen Herald","TNENG/25/A1774","08-07-2025","English","Quarterly","B SWAMINATHAN","B SWAMINATHAN","Tamil Nadu","Kancheepuram"
"34026","KITCHEN IDEAS","MAHENG/2013/62617","15-06-2015","English","Quarterly","SHEITAL SHETTY","GNOSIS SERVICES PVT. LTD.","Maharashtra","Mumbai"
"34027","Kitna Sach Kitta Jhut","MPHIN/26/A0862","30-01-2026","Hindi","Monthly","Deepshikha Soni","Deepshikha Soni","Madhya Pradesh","Bhopal"
"34028","KITTA VANI","KARBIL/2021/86485","16-02-2024","English, Kannada","Monthly","RAMYA H","RAMYA H","Karnataka","Bengaluru"
"34029","KITTALE NADU","45569","23-12-1988","KANNADA","Weekly","M Y HAMZATHULLA","M Y HAMZATHULLA","Karnataka","Bengaluru"
"34030","KITTUR HULI","KARKAN/2016/68214","08-08-2016","Kannada","Weekly","MADHUKAR H. KALE","MADHUKAR H. KALE","Karnataka","Belgaum"
"34031","KITTUR KARNATAKA","KARKAN/2012/41639","18-04-2012","Kannada","Daily","MANJUNATH BASAPPA ABBIGERI","MANJUNATH BASAPPA ABBIGERI","Karnataka","Gadag"
"34032","KITTUR KRANTI PATRIKE","KARKAN/2014/62033","21-05-2015","Kannada","Weekly","MANJUNATH HANAMANTAPPA","MANJUNATH HANAMANTAPPA MANNAVADDAR","Karnataka","Belgaum"
"34033","Kitturu Vani","KNKAN/25/A1522","02-07-2025","Kannada","Daily","Siddamma Kadani","Siddamma Kadani","Karnataka","Dharwad"
"34034","KIZHAKKU SOORIYAN","TNTAM/26/A4647","04-06-2026","Tamil","Monthly","SUBRAMANI PALANIYAPPAN","SUBRAMANI PALANIYAPPAN","Tamil Nadu","Dindigul"
"34035","KIZHAKKU VAASAL UDHAYAM","TNTAM/2008/25807","10-10-2008","Tamil","Monthly","A. SELVARAJ ALIAS UTHAMACHOLAN","A. SELVARAJ ALIAS UTHAMACHOLAN","Tamil Nadu","Thiruvarur"
"34036","KJATSNGI","66118","06-11-1997","English","Fortnightly","ANTHONY N. NONGBARI","ANTHONY N. NONGBARI","Meghalaya","East Khasi Hills"
"34037","KLITEZ","UPHIN/2002/08167","01-11-2002","Hindi","Weekly","ISLAMUDDIN KHAN","ISLAMUDDIN KHAN","Uttar Pradesh","Meerut"
"34038","KLOUD 9","ODIENG/2016/69425","05-12-2016","English","Monthly","SANAT KUMAR LENKA","KIIT INTERNATIONAL SCHOOL","Odisha","Khordha"
"34039","KM KOTHRUD MIRROR","MAHENG/2010/34694","04-07-2011","English","Annual","SUNJJOY MANOHAR DAHAKE","KOTHRUD MITRA NEWSPAPERS PVT. LTD.","Maharashtra","Pune"
"34040","KMICS JOURNAL OF COMMERCE AND MANAGEMENT","TELENG/2023/83820","17-04-2023","English","Half Yearly","DR. KIRAN KUMAR BATTULA","KESHAV MEMORIAL EDUCATIONAL SOCIETY","Telangana","Hyderabad"
"34041","KMICS JOURNAL OF LANGUAGE STUDIES","TELENG/2023/83845","17-04-2023","English","Half Yearly","DR. KIRAN KUMAR BATTULA","KESHAV MEMORIAL EDUCATIONAL SOCIETY","Telangana","Hyderabad"
"34042","KMICS JOURNAL OF SCIENCES","TELENG/2023/83846","17-04-2023","English","Half Yearly","DR. KIRAN KUMAR BATTULA","KESHAV MEMORIAL EDUCATIONAL SOCIETY","Telangana","Hyderabad"
"34043","KNANAYADEEPAM","KERBIL/2006/19210","18-04-2007","English, Malayalam","Monthly","Father Jaicobkutty K S","THE MALANKARA SYRIAN KNANAYA ARCHDIOCESE","Kerala","Kottayam"
"34044","KNIT INDIA TIRUPPUR","TNBIL/2023/85304","24-08-2023","English, Tamil","Monthly","KUMARAN","KUMARAN","Tamil Nadu","Tiruppur"
"34045","KNOW MORE","WBENG/2010/32429","28-05-2010","English","Monthly","RAMESWAR DUTTA","RAMESWAR DUTTA","West Bengal","Kolkata"
"34046","KNOW YOUR CHILD-A PARENTING MAGAZINE","KERBIL/2014/60618","05-03-2015","English, Malayalam","Monthly","P.U. KUNHAMBU NAIR","ASSOCIATION FOR LEARNING DISABILITIES INDIA(ALDI)","Kerala","Thrissur"
"34047","Know Your Doctor","UPENG/26/A2248","06-04-2026","English","Monthly","Monalisha Bhattacharjee","Monalisha Bhattacharjee","Uttar Pradesh","Gautam Buddha Nagar"
"34048","KNOW YOUR KNOWLEDGE","GUJGUJ/2013/53110","14-11-2013","Gujarati","Monthly","MAULIK SHIVLALBHAI GHODASARA","MAULIK SHIVLAL BHAI GHODASARA","Gujarat","Rajkot"
"34049","KNOW YOUR TOWN","MAHENG/2013/50556","27-06-2013","English","Monthly","MILIND BALLAL","MILIND BALLAL","Maharashtra","Thane"
"34050","KNOWLEDGE ABSOLUTE","MPBIL/2015/66596","04-04-2016","English, HINDI","Monthly","NEERAJ DESAI","SOFTVISION EDUCATIONAL SOCIETY","Madhya Pradesh","Indore"
"34051","KNOWLEDGE CAFE","GUJGUJ/2015/67302","06-06-2016","Gujarati","Monthly","AJMERA NIMESH RASIKBHAI","NIMESH RASIKLAL AJMERA","Gujarat","Rajkot"
"34052","KNOWLEDGE FLAME","MAHMUL/2024/89852","25-10-2024","MULTILINGUAL","Bimonthly (Once in two months)","NAGWE KRUSHNA ANNASAHEB","NAGWE KRUSHNA ANNASAHEB","Maharashtra","Jalna"
"34053","KNOWLEDGE MEDIA","TRIBEN/2008/25335","12-02-2009","Bengali","Weekly","TAPA SAHA","TAPA SAHA","Tripura","West Tripura"
"34054","KNOWLEDGE NAVIGATOR","JKBIL/2009/32345","19-05-2010","English, Urdu","Monthly","TUFAIL AHMAD AHANGER","TUFAIL AHMAD AHANGAR","Jammu and Kashmir","Srinagar"
"34055","KNOWLEDGE NEWS","MAHMAR/2023/89180","25-09-2024","MARATHI","Weekly","MAHADEV TUKARAM KARANDE","MAHADEV TUKARAM KARANDE","Maharashtra","Sangli"
"34056","knowledge partner","MPHIN/26/A0655","22-01-2026","Hindi","Monthly","Mohd waseem","Mohd waseem","Madhya Pradesh","Bhopal"
"34057","KNOWLEDGE PLUS","KARENG/2018/76814","07-02-2019","English","Bimonthly (Once in two months)","VIBHA RAJ","VIBHA RAJ","Karnataka","Bengaluru"
"34058","KNOWLEDGE QUEST","RAJENG/2006/16222","01-03-2006","English","Monthly","ANAND MISHRA","ANAND MISHRA","Rajasthan","Jaipur"
"34059","Knowledge Science","MHMAR/26/A2105","30-03-2026","Marathi","Weekly","SHIVAJI ISHRWARA DURGADE","SHIVAJI ISHRWARA DURGADE","Maharashtra","Sangli"
"34060","KNOWLEDGE SPECTRUM","MPBIL/2017/73854","17-11-2017","English, HINDI","Half Yearly","NARENDRA SINGH BHATI","JAI SOCIAL RESEARCH AND EDUCATION SOCIETY","Madhya Pradesh","Sehore"
"34061","KNOWLEDGE TIMES","GUJBIL/2010/30951","16-02-2010","English, Gujarati","Fortnightly","BABULAL CHANABHAI GUJARATI","BABULAL CHANABHAI GUJARATI","Gujarat","Rajkot"
"34062","KNOWLEDGE TODAY","GUJGUJ/2012/44356","30-07-2012","Gujarati","Daily","MUKESHKUMAR BABUJI PARMAR","MUKESHKUMAR BABUJI PARMAR","Gujarat","Banaskantha"
"34063","KOA MAGAZINE SPORTS","KERMAL/2023/85525","12-10-2023","Malayalam","Monthly","S RAJIV","KOA MAGAZINE SPORTS","Kerala","Thiruvananthapuram"
"34064","KOBARA DOT COM","MPHIN/2010/36909","27-04-2011","Hindi","Weekly","Himani Raikwar","Himani Raikwar","Madhya Pradesh","Bhopal"
"34065","KOBE KOTHAY KENO","WBBEN/2015/61189","10-04-2015","Bengali","Fortnightly","DIPAK KUMAR BISWAS","DIPAK KUMAR BISWAS","West Bengal","North 24 Parganas"
"34066","KOBRA EXPRESS","MAHMAR/2014/64427","27-10-2015","Marathi","Daily","SUDHIR SHIVAPPA KURDE","SUDHIR SHIVAPPA KURDE","Maharashtra","Solapur"
"34067","KOBRA POST DOT COM","MPHIN/2010/35085","12-11-2012","Hindi","Daily","VAIBHAV SHARMA","VAIBHAV SHARMA","Madhya Pradesh","Bhopal"
"34068","KOBRA POST DOT COM","MPHIN/26/A5978","25-07-2026","Hindi","Daily","VAIBHAV SHARMA","VAIBHAV SHARMA","Madhya Pradesh","Raisen"
"34069","KOCHI TIMES","KERENG/2012/45927","23-10-2012","ENGLISH","Daily","Paulson D Padayatty","BENNETT, COLEMAN & CO.LTD","Kerala","Ernakulam"
