"SN.","Title","Registration Number","Registration Date","Language","Periodicity","Publisher","Owner","Publication State","Publication District"
"18001","DIVYANG KI BAAT","DELHIN/2021/83870","20-04-2023","Hindi","Bimonthly (Once in two months)","SHANKER LAL","SHANKER LAL","Delhi","New Delhi"
"18002","DIVYANG KI PUKAR","UPHIN/2023/89537","10-10-2024","HINDI","Monthly","VINOD KUMAR GUPTA","VINOD KUMAR GUPTA","Uttar Pradesh","Ghaziabad"
"18003","DIVYANG MITRA","MAHMAR/2017/74187","14-12-2017","Marathi","Weekly","VIJAY SHAMRAO BORSE","VIJAY SHAMRAO BORASE","Maharashtra","Dhule"
"18004","DIVYANG NAYAK","MAHMAR/2023/84623","29-05-2023","Marathi","Weekly","MOHD SAJEED MOHD ISRAR","MOHD SAJEED MOHD ISRAR","Maharashtra","Buldhana"
"18005","DIVYANG SAMWAD","UPHIN/2017/74671","13-02-2018","Hindi","Weekly","SHASHI KANT LAL","SHASHI KANT LAL","Uttar Pradesh","Lucknow"
"18006","DIVYANG SANGHARSH","GUJGUJ/2021/84636","29-05-2023","Gujarati","Daily","Kurshibhai Shankarbhai Suthar","Kurshibhai Shankarbhai Suthar","Gujarat","Banaskantha"
"18007","DIVYANG SETU","GUJHIN/2019/79461","17-02-2021","Hindi","Monthly","MIHIR ASHOKKUMAR SHAH","OMKAR FOUNDATION TRUST","Gujarat","Ahmedabad"
"18008","DIVYANG SHAKTI","MAHMAR/2019/90618","08-04-2025","MARATHI","Weekly","MANOJ MURLIDHAR NAGARNAIK","MANOJ MURLIDHAR NAGARNAIK","Maharashtra","Buldhana"
"18009","DIVYANG SHAKTI NEWS","GUJGUJ/2020/78902","18-09-2020","Gujarati","Monthly","CHAUDHARI BABUBHAI RAMJIBHAI","CHAUDHARI BABUBHAI RAMJIBHAI","Gujarat","Mahesana"
"18010","DIVYANG VANI","UTTHIN/2016/71721","18-05-2017","Hindi","Monthly","SHRI DINESH PAL SINGH","DINESH PAL SINGH","Uttarakhand","Garhwal"
"18011","DIVYANG VOICE","APBIL/25/A4773","05-12-2025","Telugu, English","Monthly","KALLAM PHANI KUMAR REDDY","KALLAM PHANI KUMAR REDDY","Andhra Pradesh","Krishna"
"18012","DIVYANG WARTA","MAHMAR/2023/89458","10-10-2024","MARATHI","Weekly","RAHUL SURESH MULE","RAHUL SURESH MULE","Maharashtra","Jalna"
"18013","DIVYANGA VAHINI","TELTEL/2018/76569","21-12-2018","Telugu","Monthly","SATISH GUNDAPANENI","SATISH GUNDAPANENI","Telangana","Khammam"
"18014","DIVYANGA VANI","KARKAN/2017/74489","24-01-2018","Kannada","Weekly","SHIVASHANKARAPPA.B","SHIVASHANKARAPPA.B","Karnataka","Davanagere"
"18015","DIVYANSHI NEWS","UTTHIN/2012/44326","26-07-2012","Hindi","Weekly","SANJU PAL","SANJU PAL","Uttarakhand","Dehradun"
"18016","DIVYAPRERANA","MAHMAR/2015/63598","05-08-2015","Marathi","Weekly","MILIND RUPRAOJI LONPANDE","MILIND RUPRAOJI LONPANDE","Maharashtra","Amravati"
"18017","DIVYASARTHI","MHMAR/25/A3992","18-11-2025","Marathi","Daily","ANIKET VIJAY PATIL","ANIKET VIJAY PATIL","Maharashtra","Jalgaon"
"18018","DIVYASARTHI","MAHMAR/2021/80404","28-10-2021","Marathi","Weekly","ANIKET VIJAY PATIL","ANIKET VIJAY PATIL","Maharashtra","Jalgaon"
"18019","DIVYASHRAM","MAHMAR/2023/90080","19-11-2024","MARATHI","Weekly","SHRIKANT MAHADEV KOLI","SHRIKANT MAHADEV KOLI","Maharashtra","Solapur"
"18020","DIVYASRISHTI MIRROR","MAHMAR/2021/80194","13-09-2021","Marathi","Fortnightly","MAYURI BABAN GHODE","MAYURI BABAN GHODE","Maharashtra","Pune"
"18021","DIVYASRUSHTI","MAHMAR/2021/82503","21-10-2022","Marathi","Weekly","GULABRAO SHANKARRAO PATIL","GULABRAO SHANKARRAO PATIL","Maharashtra","Jalna"
"18022","DIVYASTHRA","KARKAN/2010/34163","28-10-2010","Kannada","Monthly","VINAY KUMAR P","VINAY KUMAAR P.","Karnataka","Chikmagalur"
"18023","DIVYASTRAM","APTEL/2021/81412","21-04-2022","Telugu","Monthly","ADAPA RAMANA MURTHY","ADAPA RAMANA MURTHY","Andhra Pradesh","Visakhapatnam"
"18024","DIVYATA","UPHIN/2013/54134","23-01-2014","Hindi","Monthly","VRITANT SRIVASTAV","VRITANT SRIVASTAV","Uttar Pradesh","Lucknow"
"18025","DIVYAVANI","4147","31-07-1961","Kannada","Fortnightly","C K HUSSAIN","MUSLIM YOUNGMENS ASSOCIATION","Karnataka","Dakshina Kannada"
"18026","DIVYAVRITT","MAHMAR/2014/58573","28-11-2014","Marathi","Weekly","KAIJKAR PRASAD SATISH","KAIJKAR PRASAD SATISH","Maharashtra","Beed"
"18027","DIVYAYUG","MAHMAR/2023/89289","04-10-2024","MARATHI","Daily (Monday To Saturday)","Nilesh Madanlal Khandelwal","Nilesh Madanlal Khandelwal","Maharashtra","Amravati"
"18028","DIVYAYUG","MPHIN/2002/07249","16-07-2002","Hindi","Monthly","AACHARYA DR. SANJAY DEV","AACHARYA DR. SANJAY DEV","Madhya Pradesh","Indore"
"18029","DIVYESHWARI","MPHIN/2009/28703","13-08-2009","Hindi","Monthly","DIVYA SHUKLA","DIVYA SHUKLA","Madhya Pradesh","Bhopal"
"18030","DIWA NEWS","MAHMAR/2021/80669","20-12-2021","Marathi","Weekly","SUHAS SHANTARAM KHANDAGALE","SUHAS SHANTARAM KHANDAGALE","Maharashtra","Thane"
"18031","DIWAKAR PATR","RJBIL/25/A1968","29-07-2025","Hindi, English","Weekly","Purushottam Jha","Purushottam Jha","Rajasthan","Jaipur"
"18032","DIWAKAR RAJASTHAN TIMES","RAJHIN/2015/67529","17-06-2016","Hindi","Fortnightly","PREM KUMAR SUDIA","PREM KUMAR SUDIA","Rajasthan","Ganganagar"
"18033","DIWAL POT DUNGA","MPHIN/2012/45739","15-10-2012","Hindi","Weekly","NARESH MANDEKAR","NARESH MANDEKAR","Madhya Pradesh","Betul"
"18034","DIWAN E AAM","MAHURD/2013/54440","04-02-2014","Urdu","Daily","MOMIN WAHEEDUZZAFAR ZAHID AKHTAR","MOMIN WAHEEDUZZAFAR ZAHID AKHTAR","Maharashtra","Nashik"
"18035","DIWAN KHANA","9989","01-01-1964","Urdu","Weekly","MOHD. HASEEN-UD-DIN KHATIB","MOHD. HASEEN-UD-DIN KHATIB","Haryana","Ambala"
