"SN.","Title","Registration Number","Registration Date","Language","Periodicity","Publisher","Owner","Publication State","Publication District"
"58001","SACH KI JAY HO","MPHIN/2022/88851","09-09-2024","HINDI","Daily Evening","SEEMA PANCHAL","RAMAKANT PANCHAL","Madhya Pradesh","Indore"
"58002","SACH KI JAY HO","MPHIN/2014/60176","12-02-2015","Hindi","Weekly","RAMAKANT PANCHAL","RAMAKANT PANCHAL","Madhya Pradesh","Ujjain"
"58003","SACH KI JAY HO","MPHIN/2016/69271","10-11-2016","Hindi","Daily","RAMAKANT PANCHAL","RAMAKANT PANCHAL","Madhya Pradesh","Ujjain"
"58004","SACH KI JAY HO","MPHIN/25/A2871","26-09-2025","Hindi","Daily","RAMAKANT PANCHAL","RAMAKANT PANCHAL","Madhya Pradesh","Bhopal"
"58005","Sach Ki Khoj","MHHIN/25/A3799","10-11-2025","Hindi","Weekly","Ramlakhan Kashiram Shukla","Ramlakhan Kashiram Shukla","Maharashtra","Thane"
"58006","SACH KI LADAI","UPHIN/2017/74141","21-12-2017","Hindi","Monthly","NIRMAL KUMAR  CHAUBEY","NIRMAL KUMAR  CHAUBEY","Uttar Pradesh","Faizabad"
"58007","SACH KI LEHAR","DELHIN/2014/58041","31-10-2014","Hindi","Daily","NISHANT SHRIVASTAVA","NISHANT SHRIVASTAVA","Delhi","New Delhi"
"58008","SACH KI MARYADA","UPHIN/2008/25032","13-08-2008","Hindi","Daily","MOHAN LAL GAUR","MOHAN LAL GAUR","Uttar Pradesh","Hardoi"
"58009","SACH KI MARYADA","UPENG/2009/30323","28-01-2014","English","Daily","MOHAN LAL GAUR","MOHAN LAL GAUR","Uttar Pradesh","Hardoi"
"58010","SACH KI MISAL","MPHIN/2010/52993","12-11-2013","Hindi","Monthly","M. IMRAN","M. IMRAN","Madhya Pradesh","Bhopal"
"58011","SACH KI PADTAL","MPHIN/2010/36215","17-03-2011","Hindi","Monthly","YUSUF KHAN","YUSUF KHAN","Madhya Pradesh","Bhopal"
