"SN.","Title","Registration Number","Registration Date","Language","Periodicity","Publisher","Owner","Publication State","Publication District"
"42001","MUMBAI MASS TIMES","MAHHIN/2015/61137","09-04-2015","HINDI","Weekly","RAVINDRA P. JAIN","RAVINDRA P. JAIN","Maharashtra","Thane"
"42002","MUMBAI MATDAR","MAHMAR/2021/80119","24-08-2021","Marathi","Daily","PRAMOD KHADSE","PRAMOD KHADSE","Maharashtra","Amravati"
"42003","MUMBAI MERI MAA","MAHHIN/2015/65092","04-12-2015","Hindi","Monthly","DINESH SINGH","DINESH SINGH","Maharashtra","Thane"
"42004","MUMBAI MIRROR","MAHENG/2005/16272","11-07-2013","English","Daily","R. Krishnamurthy","BENNETT, COLEMAN & CO.LTD","Maharashtra","Mumbai"
"42005","MUMBAI MISSION","MAHMAR/2014/59964","03-02-2015","Marathi","Fortnightly","SUBHASHCHANDRA BALIRAM BORADE","SUBHASHCHANDRA BALIRAM BORADE","Maharashtra","Thane"
"42006","MUMBAI MITRA","MAHMAR/2005/21175","21-09-2007","Marathi","Daily","ABHIJEET ASHOK RANE","VAST MEDIA NETWORK PVT.LTD","Maharashtra","Mumbai Suburban"
"42007","MUMBAI MITRA","MAHHIN/2004/15730","08-12-2005","Hindi","Daily","ABHIJEET ASHOK RANE","VAST MEDIA NETWORK PVT.LTD","Maharashtra","Mumbai Suburban"
"42008","MUMBAI MOOD","DELENG/2016/66685","12-04-2016","English","Weekly","SHAMIM AHMED KHAN","SHAMIM AHMED KHAN","Delhi","New Delhi"
"42009","MUMBAI NETRA TIMES","MAHHIN/2005/14772","13-06-2005","Hindi","Weekly","UMARALI YAKUB SHAIKH","UMARALI YAKUB SHAIKH","Maharashtra","Mumbai"
"42010","MUMBAI NEWSTIME","MAHENG/2007/21562","05-11-2012","English","Weekly","ARUN KUMAR TULI","TULI MULTIMEDIA","Maharashtra","Mumbai"
"42011","MUMBAI NEWSWEEK","MAHENG/2008/25156","13-08-2008","English","Weekly","ARUN KUMAR TULI","TULI MULTIMEDIA","Maharashtra","Mumbai"
"42012","MUMBAI ORIYA SAMAJ","MAHODI/2009/30746","04-02-2010","Oriya","Fortnightly","SUKANTI MISHRA","SUKANTI MISHRA","Maharashtra","Mumbai"
