"SN.","Title","Registration Number","Registration Date","Language","Periodicity","Publisher","Owner","Publication State","Publication District"
"38001","MAHARASHTRA TIMES","MAHMAR/2012/46508","22-11-2012","Marathi","Daily","R. Krishnamurthy","BENNETT, COLEMAN & CO.LTD","Maharashtra","Nashik"
"38002","MAHARASHTRA TIMES","MAHMAR/2013/54417","04-02-2014","Marathi","Daily","R. KRISHNAMURTHY","BENNETT, COLEMAN & CO.LTD","Maharashtra","Jalgaon"
"38003","MAHARASHTRA TIMES ANNUAL","27741","07-01-1978","Marathi","Annual","SREEKRISHNA GOVIND JOSHI","BENNETT, COLEMAN & CO.LTD","Maharashtra","Mumbai"
"38004","MAHARASHTRA TIMES PUNE PLUS","MAHMAR/2018/75634","25-06-2018","Marathi","Daily","Maneesh Animesh Goswami","BENNETT, COLEMAN & CO LTD","Maharashtra","Pune"
"38005","MAHARASHTRA TIMES SAMVAD","MAHMAR/2011/42760","11-06-2012","Marathi","Weekly","R. Krishnamurthy","BENNETT, COLEMAN & CO.LTD","Maharashtra","Mumbai"
"38006","MAHARASHTRA TODAY","MAHMAR/2013/53147","23-12-2013","Marathi","Monthly","JITENDRA PANDHARINATH PAKHARE","JITENDRA PANDHARINATH PAKHRE","Maharashtra","Mumbai"
"38007","MAHARASHTRA TOP LINE","MAHHIN/2007/23586","09-10-2013","Hindi","Weekly","MR. DEV BALDEV SINGH","DEV BALDEV SINGH","Maharashtra","Mumbai"
"38008","MAHARASHTRA TOP NEWS","MAHMAR/2010/32772","29-06-2010","Marathi","Weekly","PATHAN MASUMKHAN ISMAILKHAN","PATHAN MASUMKHAN ISMAILKHAN","Maharashtra","Latur"
"38009","MAHARASHTRA UDYOG VYAPARI MITRA","69309","06-11-1998","Marathi","Weekly","CHANDRAKANT SHANKARRAO BHOITE","CHANDRAKANT SHANKARRAO BHOITE","Maharashtra","Thane"
"38010","MAHARASHTRA UPDATES","MAHMAR/2023/89406","10-10-2024","MARATHI","Weekly","FIROJ KHAN RAHIMKHAN PATHAN","FIROJ KHAN RAHIMKHAN PATHAN","Maharashtra","Chhatrapati Sambhaji Nagar"
"38011","MAHARASHTRA VADI","MAHMAR/2021/82738","16-11-2022","Marathi","Weekly","MANDAR SATYEN TANNU","MANDAR SATYEN TANNU","Maharashtra","Pune"
"38012","MAHARASHTRA VAIBHAV","MAHMUL/2009/33761","24-09-2010","English, Marathi, Hindi","Daily","MOHAN MADHUKAR MULHERKAR","MOHAN MADHUKAR MULHERKAR","Maharashtra","Kolhapur"
"38013","MAHARASHTRA VANI YUVA MANCH","MAHMAR/2015/72702","20-07-2017","Marathi","Weekly","RAJENDRA PARSHURAM PACHPUTE","RAJENDRA PARSHURAM PACHPUTE","Maharashtra","Dhule"
"38014","MAHARASHTRA VEDH","MHMAR/26/A6567","10-08-2026","Marathi","Weekly","Yogesh Suresh Nerkar","Yogesh Suresh Nerkar","Maharashtra","Thane"
"38015","MAHARASHTRA VIJAY","MAHMAR/2023/88106","25-07-2024","Marathi","Weekly","VIJAY RAMESH KUCHE","VIJAY RAMESH KUCHE","Maharashtra","Akola"
"38016","MAHARASHTRA VRUTANT","MAHMAR/2022/86384","12-02-2024","Marathi","Daily","VIKAS SHIVRAM PATIL","VIKAS SHIVRAM PATIL","Maharashtra","Thane"
"38017","MAHARASHTRA VYASPEETH","MAHMAR/2007/23932","15-05-2008","Marathi","Weekly","AVINASH GOPAL GHODKE","AVINASH GOPAL GHODKE","Maharashtra","Ahilyanagar"
"38018","Maharashtra Warta Sankalp","MHMAR/26/A4701","04-06-2026","Marathi","Weekly","Rushikesh Santosh Adhikari","Rushikesh Santosh Adhikari","Maharashtra","Raigad"
"38019","MAHARASHTRABHOOMI","MHBIL/26/A0330","14-01-2026","English, Hindi","Weekly","MONIKA ROHIT SALVI","prashant prakashrao bhosale","Maharashtra","Thane"
"38020","MAHARASHTRACHE NETRUTVA","MAHMAR/2023/84579","29-05-2023","Marathi","Fortnightly","GAURAV RANDHIR AHIWALE","GAURAV RANDHIR AHIWALE","Maharashtra","Pune"
"38021","MAHARASHTRACHE SAMAJKARAN","MAHMAR/2023/89138","24-09-2024","MARATHI","Fortnightly","SAJAN BHAGWAN ADSUL","SAJAN BHAGWAN ADSUL","Maharashtra","Pune"
"38022","MAHARASHTRACHI CHALVAL","MAHMAR/2024/89606","15-10-2024","MARATHI","Weekly","SIMA ATUL CHOPADE","SIMA ATUL CHOPADE","Maharashtra","Pune"
"38023","MAHARASHTRACHI HAK","MAHMAR/2016/71421","04-05-2017","Marathi","Daily","ASHRUBA BHAGWANT SHEWALE","ASHRUBA BHAGWANT SHEWALE","Maharashtra","Buldhana"
"38024","MAHARASHTRACHI LEKHANI","MAHMAR/2023/87547","22-07-2024","MARATHI","Daily","MAHENDRA MURLIDHAR SARODE","MAHENDRA MURLIDHAR SARODE","Maharashtra","Chhatrapati Sambhaji Nagar"
"38025","MAHARASHTRACHI SHAN","MAHMAR/2019/90657","23-04-2025","MARATHI","Weekly","SUNIL PRABHU DHIMDHIME","SUNIL PRABHU DHIMDHIME","Maharashtra","Beed"
"38026","MAHARASHTRACHI UNNATI","MAHMAR/2023/88584","20-08-2024","MARATHI","Daily","SHAIKH FARHA NAAZ RAZEQ","SHAIKH FARHA NAAZ RAZEQ","Maharashtra","Chhatrapati Sambhaji Nagar"
"38027","MAHARASHTRANITI","MHMAR/25/A5246","17-12-2025","Marathi","Weekly","Vinod Krushanaji Bhokare","Vinod Krushanaji Bhokare","Maharashtra","Buldhana"
"38028","maharashtrapanch","MHMAR/25/A1408","25-06-2025","Marathi","Weekly","Mohammad Nazim Mohammad Kasim siddiqui","Mohammad Nazim Mohammad Kasim siddiqui","Maharashtra","Parbhani"
"38029","MAHARASTARA JEET","MHMUL/25/A0788","02-06-2025","Hindi, Marathi, English","Daily","Sagar Ramdas Ambhore","Sagar Ramdas Ambhore","Maharashtra","Washim"
"38030","MAHARASTRA NANDAN","MAHMAR/2017/73360","21-09-2017","Marathi","Weekly","SUNIL PANDIT PATIL","SUNIL PANDIT PATIL","Maharashtra","Jalgaon"
"38031","maharastra varta bhumi","MHMAR/26/A3861","18-05-2026","Marathi","Weekly","AMOL BABASAHEB BADE","AMOL BABASAHEB BADE","Maharashtra","Beed"
"38032","MAHARISHI DAYANAND SMRITI PRAKASH","RAJHIN/2015/60530","04-03-2015","Hindi","Monthly","VIJAY SINGH BHATI","MAHARISHI DAYANAND SARASWATI SMRITI BHAWAN NYAS","Rajasthan","Jodhpur"
"38033","MAHARISHI JOURNAL OF LAW AND SOCIETY","UPENG/2018/76324","29-10-2018","English","Half Yearly","DR. CHIRANJI LAL","MAHARISHI UNIVERSITY OF INFORMATION TECHNOLOGY","Uttar Pradesh","Gautam Buddha Nagar"
"38034","MAHARO RAJASTHAN","MAHHIN/2012/42478","20-01-2014","Hindi","Weekly","KRUPA SHANKAR B. DAVE","KRUPA SHANKAR B. DAVE","Maharashtra","Mumbai"
"38035","MAHARSHI","MAHMAR/2002/09808","09-05-2003","Marathi","Weekly","SAGAR SANJAY KHARAT","SAGAR SANJAY KHARAT","Maharashtra","Solapur"
"38036","MAHARSHI TIMES","UPHIN/26/A5467","23-06-2026","Hindi","Weekly","SUDHA SINGH","SUDHA SINGH","Uttar Pradesh","Ballia"
"38037","MAHARSHI VALMIKI DARPAN","MAHMAR/2016/66919","10-05-2016","Marathi","Monthly","ARUN RAOSAHEB KORE","ARUN RAOSAHEB KORE","Maharashtra","Sangli"
"38038","MAHARSHIMARGAM","APTEL/26/A3427","11-05-2026","Telugu","Monthly","LAKKIREDDY SRINIVASA REDDY","LAKKIREDDY SRINIVASA REDDY","Andhra Pradesh","Guntur"
"38039","MAHARSHTRA KHABAR","MAHBIL/2000/05229","05-12-2000","Marathi, Hindi","Weekly","NATHMAL R. SONI","NATHMAL RAMCHANDRA SONI","Maharashtra","Chandrapur"
