"SN.","Title","Registration Number","Registration Date","Language","Periodicity","Publisher","Owner","Publication State","Publication District"
"6001","ARTHEK","55120","28-10-1991","Malayalam","Daily","NA","NA","Andhra Pradesh","Thiruvananthapuram"
"6002","ARTHEK","36152","13-06-1983","Malayalam","Fortnightly","POOVACHAL USHA","POOVACHAL USHA","Kerala","Thiruvananthapuram"
"6003","ARTHIK DHARA","53267","06-01-2012","Hindi","Daily","PRADIP KUMAR SUMAN","PRADIP KUMAR SUMAN","West Bengal","Kolkata"
"6004","ARTHIK JAGAT","13880","12-12-2005","Hindi","Weekly","RAJENDRA NARAYAN VAJPEYI","ARTHIK JAGAT","West Bengal","Kolkata"
"6005","ARTHIK LIPI","WBBEN/2005/15658","26-07-2012","Bengali","Daily","ASISH LAHA","ASISH LAHA","West Bengal","Kolkata"
"6006","ARTHIK LIPI","ANDBEN/2011/40512","07-02-2012","Bengali","Daily","T DURGA RAO","ASISH LAHA","Andaman & Nicobar Islands","South Andaman"
"6007","ARTHIK PARIDRISHYA","65869","05-07-1997","Hindi","Weekly","AJAY KUMAR","AJAY KUMAR","Uttar Pradesh","Deoria"
"6008","Arthik Samrasta","UPHIN/25/A4094","19-11-2025","Hindi","Monthly","Ayush Sharma","Ayush Sharma","Uttar Pradesh","Lucknow"
"6009","arthika dinamaana","KNKAN/26/A2541","15-04-2026","Kannada","Daily","gurunath shettappa tegginkeri","gurunath shettappa tegginkeri","Karnataka","Belagavi"
"6010","ARTHKALYAN","MAHMAR/2018/77412","30-05-2019","MARATHI","Four Monthly","DR. ABASAHEB VITHALRAO KALYANKAR","DR. ABASAHEB VITHALRAO KALYANKAR","Maharashtra","Nanded"
"6011","ARTHNAMA","DELHIN/2010/31553","02-02-2011","Hindi","Half Yearly","NANDAN SINGH RAWAT","BUSINESS STANDARD LTD","Delhi","New Delhi"
"6012","ARTHNITI","MAHMAR/2000/03046","15-03-2001","Marathi","Monthly","NAYANA ASHOK SHINDE","SHINDE PUBLICATIONS","Maharashtra","Mumbai"
"6013","ARTHSANKET","MAHMAR/2022/82102","08-09-2022","Marathi","Monthly","AMIT JAGANNATH BAGWE","AMIT JAGANNATH BAGWE","Maharashtra","Mumbai"
"6014","ARTHSANSKAR","MAHMAR/2023/88730","28-08-2024","MARATHI","Weekly","MOHAN GOPALRAO SHELKE","MOHAN GOPALRAO SHELKE","Maharashtra","Akola"
"6015","ARTHSHASTRA INDIAN JOURNAL OF ECONOMICS & RESEARCH","DELENG/2012/43957","11-07-2012","English","Quarterly","Deepak Sawhney","ASSOCIATED MANAGEMENT CONSULTANTS PRIVATE LTD","Delhi","New Delhi"
"6016","arthtantra paddhati","MPHIN/26/A2819","28-04-2026","Hindi","Quarterly","ali ahmed","ali ahmed","Madhya Pradesh","Bhopal"
"6017","arthtantra paddhati","MPHIN/25/A4029","19-11-2025","Hindi","Monthly","ali ahmed","ali ahmed","Madhya Pradesh","Bhopal"
"6018","ARTHVISHVA","MAHMAR/2004/18101","09-01-2007","Marathi","Weekly","RAJESH C. SIRUSHE","RAJESH C.SURUSHE","Maharashtra","Pune"
"6019","ARTHVYAVASTHA PARIDRISHYA AAJ AUR KAL","DELHIN/2017/72080","02-06-2017","Hindi","Monthly","UDAY BHAN SINGH","UDAY BHAN SINGH","Delhi","New Delhi"
"6020","ARTHYUDDH","MPHIN/2021/82514","21-10-2022","Hindi","Quarterly","MANOJ KUMAR KUSHWAHA","VINOD KUMAR KUSHWAHA","Madhya Pradesh","Bhopal"
"6021","ARTHYUDDH","MPHIN/2010/35443","25-01-2011","Hindi","Monthly","MANOJ KUMAR KUSHWAHA","VINOD KUMAR KUSHWAHA","Madhya Pradesh","Bhopal"
"6022","ARTHYUG EXPRESS","MPHIN/2014/60115","09-02-2015","Hindi","Weekly","DEVENDAR NATH CHATURVEDI","DEVENDAR NATH CHATURVEDI","Madhya Pradesh","Gwalior"
"6023","artical dakshin","CTHIN/25/A5350","30-12-2025","Hindi","Weekly","LALIT SAHU","LALIT SAHU","Chhattisgarh","Durg"
"6024","ARTICLE TIMES","UPHIN/2022/83514","06-03-2023","Hindi","Weekly","AYAZ AHMAD","AYAZ AHMAD","Uttar Pradesh","Sitapur"
"6025","Artificial Graphics Intelligence","UPHIN/26/A3953","20-05-2026","Hindi","Monthly","Vishnu Kant Pandey","Vishnu Kant Pandey","Uttar Pradesh","Mirzapur"
"6026","Artificial Intelligence Digest","KNENG/26/A4546","03-06-2026","English","Monthly","MEGHNA BHARDWAJ","Analytics India Magazine Private Limited","Karnataka","Bengaluru"
"6027","Aru Om times","UPHIN/25/A5233","17-12-2025","Hindi","Monthly","JIVESH SRIVASTAVA","JIVESH SRIVASTAVA","Uttar Pradesh","Pratapgarh"
"6028","ARUBA TIMES","MPHIN/2015/64319","15-10-2015","Hindi","Weekly","MOHD. KHALID","MOHD. KHALID","Madhya Pradesh","Bhopal"
"6029","ARUBATHU MOOVAR","TNTAM/2012/45854","19-10-2012","Tamil","Monthly","B. NARAYANAN","PULAVAR B. NARAYANAN","Tamil Nadu","Kanniyakumari"
"6030","ARUGAMPUL","TNTAM/2016/70137","27-01-2017","Tamil","Monthly","M. JOTHILAKSHMI","M.JOTHILAKSHMI","Tamil Nadu","Chennai"
"6031","ARUGAN THATHUVAM","TNTAM/2015/63113","08-07-2015","Tamil","Monthly","C.S.PRITHVIRAJ JAIN","ACHARYA KUND KUND JAIN SANSKRUTI CENTRE","Tamil Nadu","Tiruvannamalai"
"6032","ARUL GNANAM","TNTAM/26/A2394","10-04-2026","Tamil","Monthly","THIRUGNANANANTHA","THIRUGNANANANTHA","Tamil Nadu","Coimbatore"
"6033","ARUL JOTHI","70781","24-05-1999","Tamil","Monthly","S.SATHISH RAJ","S.SATHISH RAJ","Tamil Nadu","Chennai"
"6034","ARUL RAJAYOGAM","TNTAM/2014/57494","29-09-2014","Tamil","Monthly","K. RAMAAYYAPPAN","K. RAMAAYYAPPAN","Tamil Nadu","Chennai"
"6035","ARUL THARUM AANMEEGAM","TNTAM/2022/83025","20-12-2022","Tamil","Fortnightly","R.M.R.RAMESH","KAL PUBLICATIONS PRIVATE LIMITED","Tamil Nadu","Chennai"
"6036","ARULPUSHPAM PULANAAIVU NALITHAZH","TNTAM/26/A2055","27-03-2026","Tamil","Daily","A. PUSHPHA GIRITHARAN","MUTHULAKSHMI MADURAIVEERAN","Tamil Nadu","Dindigul"
"6037","Arultharum Deivam","TNBIL/25/A1573","03-07-2025","Tamil, English","Fortnightly","RS Roshine","RS Roshine","Tamil Nadu","Chennai"
"6038","ARULTHARUM PARAASAKTHI","TNTAM/26/A2299","08-04-2026","Tamil","Monthly","S T P SIVAKUMAAR","S T P SIVAKUMAAR","Tamil Nadu","Chennai"
"6039","ARUMBU","11807","25-05-2012","Tamil","Monthly","FR. A. AMIRTHARAJ, SDB","SALESIAN PUBLISHING SOCIETY","Tamil Nadu","Chennai"
"6040","ARUN AWAZ","ARPHIN/2003/11724","23-01-2004","Hindi","Weekly","TAKAM VIJAITA NAMCHOOM","TAKAM VIJAITA NAMCHOOM","Arunachal Pradesh","Papum Pare"
"6041","ARUN BHOOMI","ARPHIN/2019/78411","20-03-2020","Hindi","Daily","TAKAM SONIA","TAKAM SONIA","Arunachal Pradesh","Papum Pare"
"6042","ARUN INDIA TIMES","RAJHIN/2013/50306","17-06-2013","Hindi","Fortnightly","SUNITA RAJORIA","SUNITA RAJORIA","Rajasthan","Jaipur"
"6043","ARUN MITRA","UPHIN/2002/07591","03-09-2002","Hindi","Weekly","UMESH CHANDER DWIVEDI","UMESH CHANDRA DWIVEDI","Uttar Pradesh","Prayagraj"
"6044","ARUN PRABHA","38071","02-09-1987","Hindi","Daily","SUSHIL JHALANI","SUSHIL JHALANI","Rajasthan","Alwar"
"6045","ARUN PRABHA","39662","02-09-1987","Hindi","Daily","SUSHIL JHALANI","SUSHIL JHALANI","Rajasthan","Bharatpur"
"6046","ARUN PRABHA","RAJHIN/2009/30046","15-12-2009","Hindi","Daily","SUSHIL JHALANI","SUSHIL JHALANI","Rajasthan","Jaipur"
"6047","ARUN PRAHAR","54323","10-01-1992","Hindi","Fortnightly","UPMA BAJPAI","UPMA BAJPAI","Uttar Pradesh","Kanpur Nagar"
"6048","ARUN PRAKASH","GUJGUJ/2019/78978","09-11-2020","Gujarati","Weekly","LALITDAS DURGADAS VAISHNAV","LALITDAS DURGADAS VAISHNAV","Gujarat","Ahmedabad"
"6049","ARUN PRAVAKTA","MPHIN/2016/66867","14-05-2016","Hindi","Daily","KAILASH SINGH","KAILASH SINGH","Madhya Pradesh","Bhopal"
"6050","ARUN PRAVAKTA","MPHIN/2013/48929","02-04-2013","Hindi","Monthly","KAILASH SINGH","KAILASH SINGH","Madhya Pradesh","Bhopal"
"6051","ARUN SAKSHI","UPHIN/2006/24853","23-07-2008","Hindi","Weekly","ARUN SINGH","ARUN SINGH","Uttar Pradesh","Lucknow"
"6052","ARUN SANKALP","UPHIN/2002/09249","08-03-2003","Hindi","Weekly","A. K. TRIPATHI","A.K.TRIPATHI","Uttar Pradesh","Lucknow"
"6053","ARUN SANKALP","UPHIN/2002/07974","11-10-2002","Hindi","Monthly","A.K.TRIPATHI","A.K.TRIPATHI","Uttar Pradesh","Lucknow"
"6054","ARUN UJALA","MAHHIN/2007/19832","23-05-2007","Hindi","Monthly","ARUN KUMAR TULI","ARUN KUMAR TULI","Maharashtra","Mumbai"
"6055","ARUN VICHAR","UPHIN/2007/23557","07-04-2008","Hindi","Weekly","RATNAPRABHA MISHRA","RATNAPRABHA MISHRA","Uttar Pradesh","Ambedkar Nagar"
"6056","ARUNA BHARATH","TELTEL/2021/81395","20-04-2022","Telugu","Fortnightly","GURRAM PAPI REDDY","GURRAM PAPI REDDY","Telangana","Rangareddy"
"6057","ARUNA BHARATH","TELTEL/2023/89744","21-10-2024","TELUGU","Daily","GURRAM PAPI REDDY","GURRAM PAPI REDDY","Telangana","Rangareddy"
"6058","ARUNA BHUMI","APTEL/25/A1236","13-06-2025","Telugu","Daily","RACHAKONDA CHANDRA SEKHAR RAO","RACHAKONDA CHANDRA SEKHAR RAO","Andhra Pradesh","Kurnool"
"6059","ARUNA HOSASAMAYA","KNKAN/25/A3082","08-10-2025","Kannada","Daily","Krishnappa M","Krishnappa M","Karnataka","Bengaluru"
"6060","ARUNA KRANTHI","APTEL/2008/25054","13-08-2008","Telugu","Fortnightly","BOGAM SHANKAR","BOGAM SHANKAR","Andhra Pradesh","Karimnagar"
"6061","ARUNA PRABHA","TELTEL/2021/80297","05-10-2021","Telugu","Monthly","GURRAM PAPI REDDY","GURRAM PAPI REDDY","Telangana","Rangareddy"
"6062","ARUNA PRABHA","TELTEL/2023/89778","22-10-2024","TELUGU","Daily","GURRAM PAPI REDDY","GURRAM PAPI REDDY","Telangana","Rangareddy"
"6063","ARUNACHAL FRONT","53835","10-09-2012","English","Daily","NANI KOJIN","NANI KOJIN","Arunachal Pradesh","Papum Pare"
"6064","ARUNACHAL OBSERVER","ARPENG/2017/72659","25-07-2017","English","Daily","TARH NACHUNG","TARH NACHUNG","Arunachal Pradesh","Papum Pare"
"6065","ARUNACHALAM","25284","31-05-1973","Telugu","Fortnightly","M.R. NAGESWARAO","M.R. NAGESWARAO","Andhra Pradesh","Krishna"
"6066","ARUNADAYA PRATIKA","WBBEN/2022/86010","03-01-2024","Bengali","Half Yearly","DEBI MITRA","DEBI MITRA","West Bengal","Purba Bardhaman"
"6067","ARUNAI EXPRESS","TNTAM/2015/61021","30-03-2015","Tamil","Daily","A. SATHISH","A. SATHISH","Tamil Nadu","Tiruvannamalai"
"6068","ARUNAI MURASU","TNTAM/2017/75995","10-09-2018","TAMIL","Monthly","A. MOURIYAN","A.MOURIYAN","Tamil Nadu","Chennai"
"6069","ARUNAI SUDAR","TNTAM/2022/88489","13-08-2024","TAMIL","Fortnightly","J.MUTHALU","J.MUTHALU","Tamil Nadu","Tiruvannamalai"
"6070","ARUNAI THAMIZH","TNTAM/2024/89322","01-10-2024","TAMIL","Daily","BHARATHI SELVAM","BHARATHI SELVAM","Tamil Nadu","Tiruvannamalai"
"6071","ARUNAI TIMES","TNTAM/25/A1260","13-06-2025","Tamil","Weekly","Selvam S","Selvam S","Tamil Nadu","Tiruvannamalai"
"6072","ARUNAKIRANALU","APTEL/2007/21150","21-09-2007","Telugu","Daily","ADEPU LAXMINARAYANA","ADEPU LAXMINARAYANA","Andhra Pradesh","Karimnagar"
