"SN.","Title","Registration Number","Registration Date","Language","Periodicity","Publisher","Owner","Publication State","Publication District"
"50001","POLITICAL TRUST","DELHIN/2019/78561","12-03-2020","Hindi","Monthly","KUMARI NIMMI","KUMARI NIMMI","Delhi","New Delhi"
"50002","POLITICAL VARTHA","APTEL/2007/21803","26-11-2007","Telugu","Monthly","K. SAIDULU","K.SAIDULU,C/O T.RAMU","Telangana","Rangareddy"
"50003","POLITICAL VIEW","MPHIN/2009/34958","29-12-2010","Hindi","Daily","ADITYA NARAYAN UPADHAYAY","ADITYA NARAYAN UPADHAYAY","Madhya Pradesh","Bhopal"
"50004","POLITICAL VIEW","MPENG/2013/51622","26-08-2013","English","Daily","ADITY NARAYAN UPADHYAY","ADITYA NARAYAN UPADHYAY","Madhya Pradesh","Bhopal"
"50005","POLITICAL VISION","MPHIN/2011/38767","06-09-2011","Hindi","Other","AWDHESH KUMAR SINGH CHAUHAN","AWDHESH KUMAR SINGH CHAUHAN","Madhya Pradesh","Bhopal"
"50006","POLITICAL VOICE","APTEL/2014/55135","01-04-2014","Telugu","Monthly","MOTHUKURI SREENIVASA RAO","MOTHUKURI SREENIVASA RAO","Andhra Pradesh","Khammam"
"50007","POLITICAL WAR","APTEL/2002/10074","16-06-2003","Telugu","Daily","P.KRISHNA PRASAD","P.KRISHNA PRASAD","Telangana","Hyderabad"
"50008","POLITICAL WATCH","CTHIN/26/A2703","17-04-2026","Hindi","Monthly","URWASHI GAIKWAD","TATPAR MEDIA GROUP","Chhattisgarh","Raipur"
"50009","Political Yorker","MPHIN/26/A0448","16-01-2026","Hindi","Monthly","SADIYA KHAN","SADIYA KHAN","Madhya Pradesh","Bhopal"
"50010","POLITICIANS","UPHIN/2013/54844","05-03-2014","Hindi","Daily","JAI KUMAR SHARMA","JAI KUMAR SHARMA","Uttar Pradesh","Lucknow"
"50011","POLITICO HEALTH TECH","UPHIN/2009/27674","08-05-2009","Hindi","Monthly","MOHD. ARSHAD SIDDIQUI","MOHD. ARSHAD SIDDIQUI","Uttar Pradesh","Lucknow"
