"SN.","Title","Registration Number","Registration Date","Language","Periodicity","Publisher","Owner","Publication State","Publication District"
"30001","JOHANTY TIMES","MPHIN/2003/14084","07-03-2005","Hindi","Monthly","RAJENDRA JAIN","RAJENDRA JAIN","Madhya Pradesh","Bhopal"
"30002","JOHAR ADIWASI","GUJGUJ/2021/90411","31-12-2024","GUJARATI","Weekly","ARVINDBHAI RAMABHAI GAMIT","ARVINDBHAI RAMABHAI GAMIT","Gujarat","Surat"
"30003","JOHAR CHHATTISGARH","CHHHIN/2009/35020","31-12-2010","Hindi","Daily","NARAYAN BAIN","NARAYAN BAIN","Chhattisgarh","Raigarh"
"30004","JOHAR DAHOD","GJGUJ/25/A0486","27-05-2025","Gujarati","Weekly","MALIVAD SHARAVANKUMAR AMUBHAI","MALIVAD SHRAVANKUMAR AMUBHAI","Gujarat","Dahod"
"30005","JOHAR DISUM KHABAR","JHAMUL/2007/22989","18-02-2008","English","Fortnightly","ASHWINI KUMAR PANKAJ","ASHWINI KR. PANKAJ","Jharkhand","Ranchi"
"30006","JOHAR EXPRESS","MPHIN/2022/86902","18-04-2024","Hindi","Weekly","VIJAY GARG","VIJAY","Madhya Pradesh","Barwani"
"30007","Johar ki lalkar","GJGUJ/25/A4816","05-12-2025","Gujarati","Annual","Vasava Mahendrabhai Govindbhai","Vasava Mahendrabhai Govindbhai","Gujarat","Bharuch"
"30008","JOHAR MUNSYAAR","UAKUM/26/A5512","25-06-2026","KUMAUNI","Monthly","BHUPENDRA SINGH BRIJWAL","BHUPENDRA SINGH BRIJWAL","Uttarakhand","Nainital"
"30009","Johar News Bharat","JHBIL/26/A4906","10-06-2026","Hindi, English","Daily","Taleshwar Pandit","Taleshwar Pandit","Jharkhand","Giridih"
"30010","Johar Saga Chaura","CTCHH/26/A1691","18-03-2026","Chhattisgarhi","Monthly","UPENDRA KUMAR","UPENDRA KUMAR","Chhattisgarh","Dhamtari"
"30011","JOHAR SAHIYA","JHANAP/2007/19945","30-05-2007","English","Monthly","VANDNA TETE","VANDNA TETE","Jharkhand","Ranchi"
"30012","JOHAR TIMES","MPHIN/2016/69983","18-01-2017","Hindi","Monthly","QAID JOHAR","QAID JOHAR","Madhya Pradesh","Bhopal"
"30013","JOHAR TIMES","UPURD/2016/66410","21-03-2016","Urdu","Daily","KIFAYAT ULLAH KHAN","KIFAYAT ULLAH KHAN","Uttar Pradesh","Jalaun"
"30014","JOHILA TIMES","MPHIN/2022/83289","08-02-2023","Hindi","Daily","RAM CHARAN MISHRA","RAM CHARAN MISHRA","Madhya Pradesh","Anuppur"
"30015","JOHN FOUNDATION JOURNAL OF EDUSPARK","TNENG/2018/76377","15-11-2018","English","Quarterly","JOHN LINGS V.","JOHN FOUNDATION","Tamil Nadu","Kanniyakumari"
"30016","JOHNWILL MARINE INFORMATION","KARENG/2002/06596","13-05-2002","English","Daily","K.JOHN","K.JOHN","Karnataka","Dakshina Kannada"
"30017","JOHR E GUFTAR","36557","17-03-2004","Kannada","Daily","ZAKIAHMED DHARWADKAR","ZAKIAHMED DHARWADKAR","Karnataka","Belagavi"
"30018","JOHRI","15536","01-01-1967","Hindi, Urdu","Weekly","RAM PRAKASH SHARMA","RAM PRAKASH SHARMA","Punjab","Firozpur"
"30019","JOINT BUREAU","UPHIN/2002/09002","06-02-2003","Hindi","Weekly","SHAHKAR HASAN","SHAHKAR HASAN","Uttar Pradesh","Lucknow"
"30020","JOKE HOYSALA","KARKAN/2000/00293","14-02-2000","Kannada","Other","G.V.RAMA RAO","G.V.RAMA RAO","Karnataka","Bengaluru Rural"
"30021","JOKHIM","UTTHIN/2010/36647","05-04-2011","Hindi","Daily","SANJEEV PANT","SANJEEV PANT","Uttarakhand","Nainital"
"30022","JOKHIM","UTTURD/2015/68479","02-09-2016","Urdu","Daily","SANJEEV PANT","SANJEEV PANT","Uttarakhand","Nainital"
"30023","JOKHIM","UTTHIN/2010/33537","06-09-2010","Hindi","Daily","SANJEEV PANT","SANJEEV PANT","Uttarakhand","Dehradun"
"30024","JOKHIM","UPHIN/2014/58605","27-11-2014","Hindi","Daily","SANJEEV PANT","SANJEEV PANT","Uttar Pradesh","Ghaziabad"
"30025","JOKHIM","UTTHIN/2015/62516","12-06-2015","Hindi","Weekly","SANJEEV PANT","SANJEEV PANT","Uttarakhand","Pithoragarh"
