"SN.","Title","Registration Number","Registration Date","Language","Periodicity","Publisher","Owner","Publication State","Publication District"
"70001","SWTANTRA","25295","01-11-1973","Telugu","Fortnightly","J. SURYANARAYANA","J. SURYANARAYANA","Telangana","Khammam"
"70002","SWTANTRA EXPRESS","UPHIN/2021/83422","28-02-2023","Hindi","Weekly","RAHUL KUMAR","RAHUL KUMAR","Uttar Pradesh","Shahjahanpur"
"70003","SWTNATRA BHARAT SATTA","58488","16-12-1993","Hindi","Daily","FAIZ A AAM AKBAR","FAIZ A AAM AKBAR","Uttar Pradesh","Rampur"
"70004","SWYAM SIDDHA","MPHIN/2011/38312","22-07-2011","Hindi","Monthly","PREMLATA","PREMLATA","Madhya Pradesh","Bhopal"
"70005","SWYAM SIDDHA","MPHIN/2013/50345","18-06-2013","Hindi","Weekly","PREMLATA","PREMLATA","Madhya Pradesh","Bhopal"
"70006","SYAHI AUR KALAM","MPHIN/2011/37668","06-06-2011","Hindi","Weekly","MAYANK SINGH PATEL","MAYANK SINGH PATEL","Madhya Pradesh","Bhopal"
"70007","SYAHI DOOT","RAJHIN/2013/52040","17-09-2013","Hindi","Fortnightly","GAUTAM DUGGAD","GAUTAM DUGGAD","Rajasthan","Jaipur"
"70008","SYAHI KA KARISHMA","HARHIN/2019/78700","22-05-2020","Hindi","Weekly","KARAMVIR","KARAMVIR","Haryana","Fatehabad"
"70009","SYAHI KA SATYA","MPHIN/26/A6467","10-08-2026","Hindi","Quarterly","sunil kumar sharma","sunil kumar sharma","Madhya Pradesh","Morena"
"70010","SYAHI KI CHAMAK","UPHIN/2016/66148","15-02-2016","Hindi","Weekly","SEEMA RANI","SEEMA RANI","Uttar Pradesh","Meerut"
"70011","SYAHI KI GUNJ","MPHIN/2019/77658","25-06-2019","Hindi","Monthly","MO. SAQUIB","MO. SAQUIB","Madhya Pradesh","Bhopal"
"70012","SYAHI KI PUKAR","MPHIN/2014/58872","12-12-2014","Hindi","Monthly","SANDEEP SHRIVASTAVA","ANAND SHARAN","Madhya Pradesh","Bhopal"
"70013","SYAMALA","APTEL/2007/22104","03-04-2012","Telugu","Daily","MUTNURU. BHAVANI","MUTNURU BHAVANI","Andhra Pradesh","Hyderabad"
"70014","SYANDAN PATRIKA","28389","05-12-1976","Bengali","Daily","SUBAL KUMAR DEY","SUBAL KUMAR DEY","Tripura","West Tripura"
"70015","SYNAO TIMES","DELBIL/2019/81476","12-05-2022","English, HINDI","Fortnightly","RAKESH KUMAR SINGH","SYNAO INFRATECH & MANAGEMENT SERVICES PRIVATE LIMITED","Delhi","New Delhi"
"70016","syndicate media","CTHIN/25/A1693","04-07-2025","Hindi","Monthly","dheerendra sahu","dheerendra sahu","Chhattisgarh","Raipur"
"70017","SYNDICATE MEDIA","MPHIN/26/A4856","09-06-2026","Hindi","Monthly","dheerendra sahu","dheerendra sahu","Madhya Pradesh","Rewa"
"70018","syndicate media","CTHIN/25/A3023","07-10-2025","Hindi","Daily","dheerendra sahu","dheerendra sahu","Chhattisgarh","Raipur"
"70019","SYNERGY JOURNAL OF THE CENTRE FOR JOINT WARFARE STUDIES","DELENG/2022/82424","17-10-2022","English","Bi-Annual","LT GEN SUNIL SRIVASTAVA","CENTRE FOR JOINT WARFARE STUDIES, CENJOWS","Delhi","New Delhi"
"70020","SYNOD","68092","24-03-1998","English","Monthly","C. LALMINAJTHANGA","SYMOD PUBLICATION-","Mizoram","Aizawl"
"70021","SYSTEM","MAHMAR/2011/40305","05-01-2012","Marathi","Weekly","PRASHANTKUMAR NAGBHUSHANAM GOLI","PRASHANTKUMAR NAGBHUSHANAM GOLI","Maharashtra","Solapur"
"70022","SYSTEM KA SACH","UPHIN/2024/89060","25-09-2024","HINDI","Annual","NISHU","NISHU","Uttar Pradesh","Gorakhpur"
"70023","SYSTEM OBSERVER","JKENG/2023/88600","21-08-2024","ENGLISH","Weekly","AVINASH BASSAN","AVINASH BASSAN","Jammu and Kashmir","Jammu"
"70024","SYSTEM SAMACHAR","DELHIN/2017/71146","21-04-2017","Hindi","Fortnightly","SANDEEP RANA","SANDEEP RANA","Delhi","New Delhi"
"70025","SYSTEMATIC PROJECTIONS","DELENG/2016/70493","27-02-2017","English","Monthly","TANVEER GOYAL","PROJECTIONS STRATEGY LLP","Delhi","New Delhi"
"70026","T &D INDIA","MAHENG/2016/75492","19-06-2018","English","Monthly","ABHISHEK SURESH MISHRA","ABHISHEK SURESH MISHRA","Maharashtra","Mumbai"
"70027","T 3 (TOMORROWS TECHNOLOGY TODAY)","MAHENG/2015/69288","11-11-2016","English","Monthly","GIRISH MALLYA","NEXT GEN PUBLISHING LIMITED","Maharashtra","Mumbai"
"70028","T NAGAR EXPRESS","TNBIL/2016/69410","05-12-2016","English, Tamil","Weekly","VINOTH V","VINOTH.V","Tamil Nadu","Chennai"
"70029","T NAGAR TIMES","TNENG/2015/73611","27-10-2017","English","Weekly","R. ASHWINI","R.ASHWINI","Tamil Nadu","Chennai"
"70030","T.N.A. TIMES","DELHIN/2011/40295","05-01-2012","Hindi","Daily","OM PRAKASH","OM PRAKASH","Delhi","New Delhi"
"70031","T.N.A.TIMES","UPHIN/2013/50081","04-06-2013","Hindi","Daily","OM PRAKASH","OM PRAKASH","Uttar Pradesh","Jhansi"
"70032","T.NAGAR TALK","TNBIL/2004/13947","21-02-2005","English, Tamil","Weekly","T. R. JAWAHAR","M/S. TALK MEDIA PVT. LTD.,","Tamil Nadu","Chennai"
"70033","T.V.ENTERTAINMENT MAGAZINE","67782","03-06-1998","English","Monthly","DAMINI SHARMA","DAMINI SHARMA","Delhi","New Delhi"
"70034","TAA POI","ODIODI/2002/11191","12-11-2003","Oriya","Quarterly","RAMAKANTA PARIJA","RAMAKANTA PARIJA","Odisha","Jagatsinghapur"
"70035","TAABAR TOLI","RAJHIN/2003/11887","16-02-2004","Hindi","Fortnightly","KAMLESH SHARMA","KAMLESH SHARMA","Rajasthan","Hanumangarh"
"70036","TAAJ SHIKHAR","MPHIN/2022/85355","31-08-2023","Hindi","Quarterly","SHAMA","SHAMA","Madhya Pradesh","Bhopal"
"70037","TAAL VINA","MAHMAR/2010/34775","16-12-2010","Marathi","Fortnightly","SUNIL JAGAN GUJAR","SUNIL JAGAN GUJAR","Maharashtra","Chhatrapati Sambhaji Nagar"
"70038","TAANA VARADI","KNBIL/26/A0589","21-01-2026","Kannada, English","Monthly","S Indushekar","S Indushekar","Karnataka","Bengaluru"
