"SN.","Title","Registration Number","Registration Date","Language","Periodicity","Publisher","Owner","Publication State","Publication District"
"26001","Indian Excellence & Broadcasting","JKENG/26/A2470","13-04-2026","English","Four Monthly","IRFAN AHMAD MALIK","IRFAN AHMAD MALIK","Jammu and Kashmir","Kupwara"
"26002","INDIAN EXPONENT","JKENG/2015/68096","05-08-2016","English","Daily","TALIYAH NIZAMI","TALIYAH NIZAMI","Jammu and Kashmir","Jammu"
"26003","INDIAN EXPORT TRADE JOURNAL","9190","24-11-1948","English","Monthly","C M PANDIT","PRAVEEN CORPORATION","Gujarat","Vadodara"
"26004","INDIAN EXPRESS","CHHHIN/2011/40496","27-01-2012","Hindi","Weekly","CHANDRA PRAKASH SHIVHARE","CHANDRA PRAKASH SHIVHARE","Chhattisgarh","Raipur"
"26005","INDIAN FACT","DELHIN/2004/13480","03-10-2013","Hindi","Monthly","SUSHIL KUMAR SEN","SUSHIL KUMAR SEN","Delhi","West Delhi"
"26006","INDIAN FACT","DELHIN/2014/59476","09-01-2015","Hindi","Daily","SUSHIL KUMAR SEN","SUSHIL KUMAR SEN","Delhi","New Delhi"
"26007","INDIAN FILM PANORAMA","RAJHIN/2019/77462","17-06-2019","Hindi","Monthly","RATAN KUMAR SHARMA","RAMJAN KHAN QURASHI","Rajasthan","Jaipur"
"26008","INDIAN FOOD INDUSTRY MAG","KARENG/2018/77671","11-07-2019","English","Bimonthly (Once in two months)","DR. H.H. PATTEKHAN","ASSOCIATION OF FOOD SCIENTISTS AND TECHNOLOGISTS INDIA","Karnataka","Mysore"
"26009","INDIAN FOUNDRY JOURNAL","8680","27-01-2011","English","Monthly","Abhishikta Roychowdhury","THE INSTITUTE OF INDIAN FOUNDRYMEN","West Bengal","Kolkata"
"26010","INDIAN FRAME","RAJHIN/2005/14697","07-06-2005","Hindi","Fortnightly","SUBHASH CHAUDHARI","SUBHASH CHAUDHARI","Rajasthan","Jaipur"
"26011","INDIAN GANGASAGAR","MAHMAR/2016/75809","06-08-2018","Marathi","Fortnightly","NAGORAO GUNAJI GANGASAGAR","GANGASAGAR NAGORAO GUNAJI","Maharashtra","Nanded"
"26012","INDIAN GUARD","JHAHIN/2006/20253","26-06-2007","Hindi","Monthly","KALYAN NARAYAN PATHAK","KALYAN NARAYAN PATHAK","Jharkhand","Dhanbad"
"26013","INDIAN HARDWARE & SANITERY NEWS","57367","10-07-2012","English, HINDI","Monthly","RAKESH SHARMA","RAKESH SHARMA","Delhi","New Delhi"
"26014","INDIAN HEALTH EXPRESS","GUJGUJ/2015/59648","16-01-2015","Gujarati","Monthly","KISHOR B. DEVALIYA","KISHOR B. DEVALIYA","Gujarat","Rajkot"
"26015","INDIAN HEALTH POINT","TNBIL/2021/81128","17-02-2022","English, Tamil","Monthly","T. ARUNACHALAM","T. ARUNACHALAM","Tamil Nadu","Chennai"
"26016","INDIAN HERALD","UPHIN/2004/14519","06-05-2005","HINDI","Weekly","SEEMA PANDEY","SEEMA PANDEY","Uttar Pradesh","Lucknow"
"26017","INDIAN HERALD","UPHIN/2001/06032","21-02-2002","HINDI","Monthly","SEEMA PANDEY","SEEMA PANDEY","Uttar Pradesh","Lucknow"
"26018","INDIAN HERALD","UPHIN/2009/29920","02-12-2009","HINDI","Daily","SEEMA PANDEY","SEEMA PANDEY","Uttar Pradesh","Lucknow"
"26019","INDIAN HIGHWAYS","25597","01-08-2013","English","Monthly","SANJAY KUMAR NIRMAL","INDIAN ROADS CONGRESS","Delhi","New Delhi"
